作品 ID，名称，作者，发布日期，类型，播放量，点赞数，当前状态，热度，代码
2710，「塔萨达练枪房」最强全图全能练枪！【附视频】,执行官塔萨达，2026-03-13，技能训练，42516,498，正常，498.2,42516
2793，海克斯乱斗，Drapion,2026-03-06，娱乐，35000,293，正常，292.6,MH56D
2301，漓江塔 1v1【附视频】,莲心雾，2025-05-22，竞技，34204,199，正常，199.2,34204
2768，向僵尸开炮 看见啥就是啥【附视频】,莱因哈哈哈哈哈特，2025-12-11，娱乐，28000,189，正常，188.5,7SZQP
2669，随机小游戏合集，傲娇青冥君，2025-08-18，娱乐，22000,153，正常，153.2,672AV
2827，漓江塔 1V1（最新版）,执行官塔萨达，2026-03-21，竞技，20000,140，正常，140.1,BJTBJ
2782，马里奥赛车，柔弱的桃子小喵#5487,2025-12-30，娱乐，18000,125，正常，125.1,D0B26
2245，哈瓦那 ai 练枪【附视频】,麦藏奇缘 sombra,2025-05-21，技能训练，16000,109，正常，108.8,3E4AX
1931，找蛋躲猫猫【附详解视频】,花菜，2026-03-13，娱乐，15000,98，正常，98.2,180GB
2718，折磨深渊 肉鸽 PVE,Drapion,2025-10-09，娱乐，14000,93，正常，92.7,A27A0
2795，「英雄精通与专项训练：雾子」附视频，执行官塔萨达，2026-01-18，技能训练，13500,91，正常，91.0,RNXZY
2676，斗魂竞技场 (稳定版本，不炸房),战斗天使安吉拉，2026-02-23，竞技，13000,88，正常，88.1,6514D
2654，链在一起！,NdieL,2025-08-02，娱乐，12500,86，正常，86.4,6JQZH
2792，窃贼模拟器 完整版，起司头棕裤裤#51863,2026-01-11，娱乐，12000,78，正常，78.4,SD6DW
2789，打工吧师尊，并卵，2026-01-02，叙事，11500,71，正常，70.7,91CRS
2701，抽象酷炫 boss 战【附视频】,cloudplayer,2025-09-23，娱乐，11000,69，正常，69.4,CEN6D
2807，「飞天猫空战」,执行官塔萨达，2026-02-12，竞技，10500,66，正常，65.8,NS9GF
2747，「延迟弹道预判训练」【附视频】,执行官塔萨达，2025-11-08，技能训练，10000,66，正常，65.7,42516
